Index,Actual,Newton-cg predict,Sag predict,Saga predict,lbfgs predict
1,1,1.0,1.0,1.0,1.0
2,2,2.0,2.0,2.0,2.0
3,3,3.0,3.0,3.0,3.0
4,1,1.0,1.0,1.0,1.0
5,2,2.0,2.0,2.0,2.0
6,3,3.0,3.0,3.0,3.0
7,1,1.0,1.0,1.0,1.0
8,2,2.0,2.0,2.0,2.0
9,3,3.0,3.0,3.0,3.0
10,1,1.0,1.0,1.0,1.0
11,2,2.0,2.0,2.0,2.0
12,3,3.0,3.0,3.0,3.0
13,1,1.0,1.0,1.0,1.0
14,2,2.0,2.0,2.0,2.0
15,3,3.0,3.0,3.0,3.0
16,1,1.0,1.0,1.0,1.0
17,2,2.0,2.0,2.0,2.0
18,3,3.0,3.0,3.0,3.0
19,1,1.0,1.0,1.0,1.0
20,2,2.0,2.0,2.0,2.0
21,3,3.0,3.0,3.0,3.0
22,1,1.0,1.0,1.0,1.0
23,2,2.0,2.0,2.0,2.0
24,3,3.0,3.0,3.0,3.0
