Index,Prediction,Actual,G6 prob,Juul prob,Blu prob
0,1,0,0.8,0,0.2
1,2,1,0.4,0.5,0.1
2,3,3,0,0,1
3,1,0,0.8,0.2,0
4,2,1,0,1,0
5,3,3,0.4,0,0.6
6,1,0,0.5,0.3,0.2
7,2,1,0,1,0
8,3,3,0.4,0.1,0.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
m/z: 109 importance: 0.0644,,,,H3O+,0-385
m/z: 144 importance: 0.0305,,,,NO+,386-771
m/z: 184 importance: 0.0453,,,,O2+,772-1157
m/z: 231 importance: 0.0278,,,,OH-,1158-1543
m/z: 241 importance: 0.0299,,,,O2-,1544-1929
m/z: 287 importance: 0.0326,,,,O-,1930-2315
m/z: 303 importance: 0.0084,,,,NO2-,2316-2701
m/z: 336 importance: 0.0396,,,,NO3-,2702-3087
m/z: 450 importance: 0.0047,,,,,
m/z: 453 importance: 0.0118,,,,,
m/z: 483 importance: 0.0545,,,,,
m/z: 512 importance: 0.0084,,,,,
m/z: 517 importance: 0.0403,,,,,
m/z: 521 importance: 0.0150,,,,,
m/z: 522 importance: 0.0500,,,,,
m/z: 569 importance: 0.0500,,,,,
m/z: 688 importance: 0.0455,,,,,
m/z: 690 importance: 0.0215,,,,,
m/z: 698 importance: 0.0441,,,,,
m/z: 793 importance: 0.0083,,,,,
m/z: 844 importance: 0.0501,,,,,
m/z: 923 importance: 0.0437,,,,,
m/z: 946 importance: 0.0461,,,,,
m/z: 957 importance: 0.0445,,,,,
m/z: 962 importance: 0.0244,,,,,
m/z: 968 importance: 0.0309,,,,,
m/z: 981 importance: 0.0083,,,,,
m/z: 1060 importance: 0.0288,,,,,
m/z: 1256 importance: 0.0083,,,,,
m/z: 1582 importance: 0.0085,,,,,
m/z: 1585 importance: 0.0148,,,,,
m/z: 1928 importance: 0.0137,,,,,
m/z: 2057 importance: 0.0148,,,,,
m/z: 2793 importance: 0.0141,,,,,
m/z: 2895 importance: 0.0162,,,,,
