Index,Prediction,Actual,,,,,,,,
1,1,1,,,,,,,,
2,2,2,,,,,,,,
3,3,3,,,,,,,,
4,4,4,,,,,,,,
5,1,1,,,,,,,,
6,2,2,,,,,,,,
7,3,3,,,,,,,,
8,4,4,,,,,,,,
9,1,1,,,,,,,,
10,2,2,,,,,,,,
11,3,3,,,,,,,,
12,4,4,,,,,,,,
13,1,1,,,,,,,,
14,2,2,,,,,,,,
15,3,3,,,,,,,,
16,4,4,,,,,,,,
17,1,1,,,,,,,,
18,2,2,,,,,,,,
19,3,3,,,,,,,,
20,4,4,,,,,,,,
21,1,1,,,,,,,,
22,2,2,,,,,,,,
23,3,3,,,,,,,,
24,4,4,,,,,,,,
25,1,1,,,,,,,,
26,2,2,,,,,,,,
27,3,3,,,,,,,,
28,4,4,,,,,,,,
29,1,1,,,,,,,,
30,2,2,,,,,,,,
31,3,3,,,,,,,,
32,4,4,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,feature range ,m/z,count,percentage,
m/z: 50 importance: 0.0261,,,,,H3O+,0-385,"65, 68, 85, 110, 181, 199, 206, 230, 246, 249, 371",11,22.92,
m/z: 53 importance: 0.0395,,,,,NO+,386-771,"94, 101, 141, 152, 184, 203, 206, 207, 247, 283, 374",11,22.92,
m/z: 70 importance: 0.0051,,,,,O2+,772-1157,"47, 48, 87, 88, 103, 122, 140, 149, 152, 197, 200, 221, 235, 247, 316, 355, 371",17,35.42,
m/z: 95 importance: 0.0054,,,,,OH-,1158-1543,"18, 79, 230",3,6.25,
m/z: 166 importance: 0.0243,,,,,O2-,1544-1929,"110, 113, 184",3,6.25,
m/z: 184 importance: 0.0629,,,,,O-,1930-2315,,0,0,
m/z: 191 importance: 0.0227,,,,,NO2-,2316-2701,"29, 43, 199",3,6.25,
m/z: 215 importance: 0.0255,,,,,NO3-,2702-3087,,0,0,
m/z: 231 importance: 0.0346,,,,,,,,48,,
m/z: 234 importance: 0.0051,,,,,,,,,,
m/z: 356 importance: 0.0332,,,,,,,,,,
m/z: 465 importance: 0.0053,,,94,,,,,,,
m/z: 472 importance: 0.0093,,,101,H3O+,0-385,,11,,,
m/z: 512 importance: 0.0374,,,141,NO+,386-771,,11,,,
m/z: 523 importance: 0.0199,,,152,O2+,772-1157,,17,,,
m/z: 555 importance: 0.0101,,,184,OH-,1158-1543,,3,,,
m/z: 574 importance: 0.0216,,,203,O2-,1544-1929,,3,,,
m/z: 577 importance: 0.0329,,,206,O-,1930-2315,,0,,,
m/z: 578 importance: 0.0300,,,207,NO2-,2316-2701,,3,,,
m/z: 618 importance: 0.0050,,,247,NO3-,2702-3087,,0,,,
m/z: 654 importance: 0.0050,,,283,,,,,,,
m/z: 745 importance: 0.0269,,,374,,,,,,,
m/z: 804 importance: 0.0268,,,47,,,,,,,
m/z: 805 importance: 0.0053,,,48,,,,,,,
m/z: 844 importance: 0.0325,,,87,,,,,,,
m/z: 845 importance: 0.0264,,,88,,,,,,,
m/z: 860 importance: 0.0293,,,103,,,,,,,
m/z: 879 importance: 0.0253,,,122,,,,,,,
m/z: 897 importance: 0.0280,,,140,,,,,,,
m/z: 906 importance: 0.0054,,,149,,,,,,,
m/z: 909 importance: 0.0317,,,152,,,,,,,
m/z: 954 importance: 0.0195,,,197,,,,,,,
m/z: 957 importance: 0.0344,,,200,,,,,,,
m/z: 978 importance: 0.0050,,,221,,,,,,,
m/z: 992 importance: 0.0095,,,235,,,,,,,
m/z: 1004 importance: 0.0250,,,247,,,,,,,
m/z: 1073 importance: 0.0225,,,316,,,,,,,
m/z: 1112 importance: 0.0344,,,355,,,,,,,
m/z: 1128 importance: 0.0301,,,371,,,,,,,
m/z: 1176 importance: 0.0396,,,18,,,,,,,
m/z: 1237 importance: 0.0052,,,79,,,,,,,
m/z: 1388 importance: 0.0300,,,230,,,,,,,
m/z: 1639 importance: 0.0100,,,110,,,,,,,
m/z: 1642 importance: 0.0053,,,113,,,,,,,
m/z: 1713 importance: 0.0088,,,184,,,,,,,
m/z: 2330 importance: 0.0037,,,29,,,,,,,
m/z: 2344 importance: 0.0093,,,43,,,,,,,
m/z: 2500 importance: 0.0095,,,199,,,,,,,
