Index,Actual,Newton-cg predict,Sag predict,Saga predict,lbfgs predict
1,1,1,1,1,1
2,2,2,2,2,2
3,3,1,1,1,1
4,4,4,4,4,4
5,1,1,1,1,1
6,2,2,2,2,2
7,3,3,3,3,3
8,4,4,4,4,4
9,1,1,1,1,1
10,2,2,2,2,2
11,3,3,3,3,3
12,4,4,4,4,4
13,1,1,1,1,1
14,2,2,2,2,2
15,3,3,3,3,3
16,4,4,4,4,4
17,1,1,1,1,1
18,2,2,2,2,2
19,3,3,3,3,3
20,4,4,4,4,4
21,1,1,1,1,1
22,2,2,2,2,2
23,3,3,3,3,3
24,4,4,4,4,4
25,1,1,1,1,1
26,2,2,2,2,2
27,3,3,3,3,3
28,4,4,4,4,4
29,1,1,1,1,1
30,2,2,2,2,2
31,3,3,3,3,3
32,4,4,4,4,4
