Index,Actual,Newton-cg predict,Sag predict,Saga predict,lbfgs predict
1,1,1.0,1.0,1.0,1.0
2,2,2.0,2.0,2.0,2.0
3,3,1.0,3.0,3.0,3.0
4,4,4.0,4.0,4.0,4.0
5,1,1.0,1.0,3.0,1.0
6,2,2.0,2.0,2.0,2.0
7,3,3.0,3.0,3.0,3.0
8,4,4.0,3.0,3.0,4.0
9,1,1.0,1.0,1.0,1.0
10,2,2.0,2.0,2.0,2.0
11,3,3.0,3.0,3.0,3.0
12,4,4.0,4.0,4.0,4.0
13,1,1.0,1.0,1.0,1.0
14,2,2.0,2.0,2.0,2.0
15,3,3.0,3.0,3.0,3.0
16,4,4.0,3.0,3.0,4.0
17,1,1.0,1.0,1.0,1.0
18,2,2.0,2.0,2.0,2.0
19,3,3.0,3.0,3.0,3.0
20,4,4.0,4.0,4.0,4.0
21,1,1.0,1.0,1.0,1.0
22,2,2.0,2.0,2.0,2.0
23,3,3.0,3.0,3.0,3.0
24,4,4.0,4.0,4.0,4.0
25,1,1.0,3.0,3.0,1.0
26,2,2.0,2.0,2.0,2.0
27,3,3.0,3.0,3.0,3.0
28,4,4.0,4.0,4.0,4.0
29,1,1.0,3.0,3.0,1.0
30,2,2.0,2.0,2.0,2.0
31,3,3.0,3.0,3.0,3.0
32,4,4.0,4.0,4.0,4.0
