Index,Prediction,Actual,G6 prob,Juul prob,Blu prob
1,1.0,1,0.7,0.2,0.1
2,2.0,2,0.2,0.8,0.0
3,1.0,3,0.6,0.1,0.3
4,1.0,1,0.6,0.2,0.2
5,2.0,2,0.4,0.6,0.0
6,3.0,3,0.1,0.2,0.7
7,1.0,1,0.4,0.4,0.2
8,2.0,2,0.0,1.0,0.0
9,3.0,3,0.0,0.2,0.8
10,3.0,1,0.4,0.1,0.5
11,2.0,2,0.0,0.9,0.1
12,3.0,3,0.1,0.2,0.7
13,1.0,1,0.6,0.2,0.2
14,2.0,2,0.0,0.8,0.2
15,3.0,3,0.2,0.1,0.7
16,2.0,1,0.3,0.4,0.3
17,2.0,2,0.1,0.8,0.1
18,3.0,3,0.2,0.0,0.8
19,1.0,1,0.5,0.1,0.4
20,2.0,2,0.1,0.9,0.0
21,3.0,3,0.3,0.1,0.6
22,3.0,1,0.4,0.1,0.5
23,2.0,2,0.3,0.5,0.2
24,3.0,3,0.0,0.3,0.7
